CandidateName,AppliedRole,InterviewStage,Interviewer,InterviewDate,CommunicationScore,TechnicalScore,FeedbackText,Recommended,PanelistFatigueFlag
Candidate 29,Software Engineer,Managerial Interview,Panelist 17,2025-09-29,3.0,5.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 30,Software Engineer,Technical Interview,Panelist 19,2025-09-13,3.0,7.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 30,Software Engineer,Managerial Interview,Panelist 6,2025-09-20,4.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 32,Software Engineer,Technical Interview,Panelist 9,2025-10-01,5.0,8.0,Struggled with edge cases in coding round.,Yes,No
Candidate 32,Software Engineer,Managerial Interview,Panelist 8,2025-10-08,9.0,7.0,Struggled with edge cases in coding round.,Yes,No
Candidate 33,Software Engineer,Technical Interview,Panelist 17,2025-11-11,7.0,9.0,Struggled with edge cases in coding round.,No,No
Candidate 33,Software Engineer,Managerial Interview,Panelist 1,2025-11-18,8.0,9.0,Struggled with edge cases in coding round.,Yes,No
Candidate 33,Software Engineer,Offer,HR Team,2025-11-25,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 34,Software Engineer,Technical Interview,Panelist 13,2025-10-10,6.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 34,Software Engineer,Managerial Interview,Panelist 4,2025-10-13,10.0,7.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 35,Software Engineer,Technical Interview,Panelist 2,2025-11-19,6.0,8.0,Needs improvement in code clarity.,Maybe,No
Candidate 35,Software Engineer,Managerial Interview,Panelist 21,2025-11-26,9.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 36,Software Engineer,Technical Interview,Panelist 5,2025-10-01,6.0,8.0,"Strong problem-solving, explained system design well.",No,No
Candidate 36,Software Engineer,Managerial Interview,Panelist 3,2025-10-03,4.0,6.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 37,Software Engineer,Technical Interview,Panelist 25,2025-10-18,3.0,3.0,Struggled with edge cases in coding round.,No,No
Candidate 38,Software Engineer,Technical Interview,Panelist 21,2025-10-10,5.0,4.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 39,Software Engineer,Technical Interview,Panelist 16,2025-11-17,10.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 39,Software Engineer,Managerial Interview,Panelist 22,2025-11-24,9.0,9.0,"Strong problem-solving, explained API design well.",No,No
Candidate 40,Software Engineer,Technical Interview,Panelist 3,2025-10-11,3.0,3.0,Struggled with edge cases in coding round.,Yes,No
Candidate 40,Software Engineer,Managerial Interview,Panelist 16,2025-10-14,5.0,5.0,Struggled with edge cases in coding round.,No,No
Candidate 41,Software Engineer,Technical Interview,Panelist 4,2025-10-13,7.0,10.0,"Strong problem-solving, explained API design well.",No,No
Candidate 41,Software Engineer,Managerial Interview,Panelist 15,2025-10-20,9.0,10.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 42,Software Engineer,Technical Interview,Panelist 5,2025-10-07,4.0,6.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 42,Software Engineer,Managerial Interview,Panelist 19,2025-10-09,7.0,8.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 45,Software Engineer,Technical Interview,Panelist 21,2025-11-06,6.0,6.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 45,Software Engineer,Managerial Interview,Panelist 23,2025-11-07,7.0,10.0,Needs improvement in time complexity.,No,No
Candidate 46,Software Engineer,Technical Interview,Panelist 14,2025-10-08,10.0,10.0,"Strong problem-solving, explained DP well.",Maybe,No
Candidate 46,Software Engineer,Managerial Interview,Panelist 4,2025-10-14,6.0,10.0,"Strong problem-solving, explained system design well.",No,No
Candidate 47,Software Engineer,Technical Interview,Panelist 20,2025-10-18,6.0,6.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 47,Software Engineer,Managerial Interview,Panelist 11,2025-10-21,5.0,7.0,Struggled with edge cases in coding round.,Yes,No
Candidate 48,Software Engineer,Technical Interview,Panelist 6,2025-10-25,10.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 48,Software Engineer,Managerial Interview,Panelist 9,2025-10-29,10.0,10.0,"Strong problem-solving, explained system design well.",No,No
Candidate 50,Software Engineer,Technical Interview,Panelist 3,2025-09-25,7.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 50,Software Engineer,Managerial Interview,Panelist 13,2025-09-30,9.0,7.0,"Strong problem-solving, explained DP well.",No,No
Candidate 51,Software Engineer,Technical Interview,Panelist 17,2025-09-15,5.0,3.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 51,Software Engineer,Managerial Interview,Panelist 8,2025-09-17,3.0,6.0,Needs improvement in time complexity.,Maybe,No
Candidate 53,Software Engineer,Technical Interview,Panelist 3,2025-09-17,7.0,6.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 53,Software Engineer,Managerial Interview,Panelist 19,2025-09-24,6.0,7.0,Needs improvement in time complexity.,Yes,No
Candidate 54,Software Engineer,Technical Interview,Panelist 13,2025-11-04,4.0,6.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 54,Software Engineer,Managerial Interview,Panelist 10,2025-11-08,5.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 55,Software Engineer,Technical Interview,Panelist 24,2025-09-24,10.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 55,Software Engineer,Managerial Interview,Panelist 7,2025-09-26,9.0,8.0,Needs improvement in communication.,Yes,No
Candidate 55,Software Engineer,Offer,HR Team,2025-10-03,,,Declined due to compensation mismatch.,N/A,No
Candidate 56,Software Engineer,Technical Interview,Panelist 24,2025-10-27,8.0,10.0,Needs improvement in time complexity.,No,No
Candidate 56,Software Engineer,Managerial Interview,Panelist 15,2025-11-03,10.0,10.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 60,Software Engineer,Technical Interview,Panelist 16,2025-09-28,8.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 60,Software Engineer,Managerial Interview,Panelist 20,2025-10-04,8.0,8.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 61,Software Engineer,Technical Interview,Panelist 6,2025-10-06,9.0,8.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 61,Software Engineer,Managerial Interview,Panelist 1,2025-10-11,8.0,7.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 62,Software Engineer,Technical Interview,Panelist 15,2025-10-01,10.0,8.0,"Strong problem-solving, explained DP well.",Maybe,No
Candidate 62,Software Engineer,Managerial Interview,Panelist 7,2025-10-04,9.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 63,Software Engineer,Technical Interview,Panelist 16,2025-11-05,10.0,4.0,Struggled with edge cases in coding round.,Yes,No
Candidate 63,Software Engineer,Managerial Interview,Panelist 18,2025-11-07,9.0,6.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 63,Software Engineer,Offer,HR Team,2025-11-10,,,Declined due to delays in process.,N/A,No
Candidate 64,Software Engineer,Technical Interview,Panelist 17,2025-10-10,8.0,5.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 65,Software Engineer,Technical Interview,Panelist 5,2025-09-13,7.0,3.0,Needs improvement in code clarity.,Yes,No
Candidate 66,Software Engineer,Technical Interview,Panelist 7,2025-10-10,9.0,9.0,Struggled with edge cases in coding round.,Yes,No
Candidate 66,Software Engineer,Managerial Interview,Panelist 22,2025-10-13,6.0,7.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 68,Software Engineer,Technical Interview,Panelist 3,2025-10-31,10.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 69,Software Engineer,Technical Interview,Panelist 8,2025-09-17,4.0,3.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 69,Software Engineer,Managerial Interview,Panelist 21,2025-09-19,6.0,3.0,Needs improvement in time complexity.,Maybe,No
Candidate 72,Software Engineer,Technical Interview,Panelist 2,2025-10-21,5.0,5.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 72,Software Engineer,Managerial Interview,Panelist 24,2025-10-24,6.0,4.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 73,Software Engineer,Technical Interview,Panelist 17,2025-10-01,8.0,5.0,"Strong problem-solving, explained system design well.",No,No
Candidate 73,Software Engineer,Managerial Interview,Panelist 19,2025-10-03,10.0,9.0,Struggled with edge cases in coding round.,No,No
Candidate 75,Software Engineer,Technical Interview,Panelist 25,2025-09-22,5.0,9.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 75,Software Engineer,Managerial Interview,Panelist 16,2025-09-29,10.0,7.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 76,Software Engineer,Technical Interview,Panelist 14,2025-11-10,3.0,5.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 76,Software Engineer,Managerial Interview,Panelist 25,2025-11-17,5.0,6.0,Struggled with edge cases in coding round.,Yes,No
Candidate 77,Software Engineer,Technical Interview,Panelist 24,2025-11-01,9.0,7.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 77,Software Engineer,Managerial Interview,Panelist 11,2025-11-05,4.0,9.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 78,Software Engineer,Technical Interview,Panelist 23,2025-10-18,4.0,6.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 78,Software Engineer,Managerial Interview,Panelist 13,2025-10-22,8.0,3.0,"Strong problem-solving, explained DP well.",No,No
Candidate 79,Software Engineer,Technical Interview,Panelist 8,2025-10-09,10.0,10.0,Needs improvement in time complexity.,Yes,No
Candidate 79,Software Engineer,Managerial Interview,Panelist 4,2025-10-13,10.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 80,Software Engineer,Technical Interview,Panelist 6,2025-10-08,6.0,5.0,Needs improvement in code clarity.,Maybe,No
Candidate 80,Software Engineer,Managerial Interview,Panelist 1,2025-10-09,5.0,8.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 80,Software Engineer,Offer,HR Team,2025-10-13,,,Declined due to delays in process.,N/A,No
Candidate 81,Software Engineer,Technical Interview,Panelist 21,2025-09-12,3.0,8.0,"Strong problem-solving, explained API design well.",No,No
Candidate 82,Software Engineer,Technical Interview,Panelist 19,2025-10-09,7.0,7.0,Needs improvement in code clarity.,Yes,No
Candidate 82,Software Engineer,Managerial Interview,Panelist 13,2025-10-11,5.0,3.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 83,Software Engineer,Technical Interview,Panelist 20,2025-11-14,6.0,5.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 84,Software Engineer,Technical Interview,Panelist 16,2025-09-29,8.0,7.0,Needs improvement in code clarity.,Maybe,No
Candidate 84,Software Engineer,Managerial Interview,Panelist 15,2025-10-04,5.0,4.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 84,Software Engineer,Offer,HR Team,2025-10-10,,,Declined due to compensation mismatch.,N/A,No
Candidate 85,Software Engineer,Technical Interview,Panelist 15,2025-09-28,10.0,10.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 85,Software Engineer,Managerial Interview,Panelist 18,2025-09-30,6.0,8.0,"Strong problem-solving, explained DP well.",No,No
Candidate 86,Software Engineer,Technical Interview,Panelist 25,2025-10-01,10.0,6.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 86,Software Engineer,Managerial Interview,Panelist 23,2025-10-07,8.0,6.0,Struggled with edge cases in coding round.,Yes,No
Candidate 87,Software Engineer,Technical Interview,Panelist 2,2025-10-21,3.0,3.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 87,Software Engineer,Managerial Interview,Panelist 22,2025-10-27,3.0,3.0,Struggled with edge cases in coding round.,Yes,No
Candidate 90,Software Engineer,Technical Interview,Panelist 19,2025-10-13,7.0,5.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 91,Software Engineer,Technical Interview,Panelist 21,2025-10-05,8.0,8.0,Struggled with edge cases in coding round.,Yes,No
Candidate 91,Software Engineer,Managerial Interview,Panelist 11,2025-10-12,10.0,10.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 92,Software Engineer,Technical Interview,Panelist 21,2025-10-17,7.0,5.0,Struggled with edge cases in coding round.,No,No
Candidate 92,Software Engineer,Managerial Interview,Panelist 5,2025-10-19,5.0,3.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 94,Software Engineer,Technical Interview,Panelist 18,2025-11-09,7.0,6.0,Struggled with edge cases in coding round.,Yes,No
Candidate 95,Software Engineer,Technical Interview,Panelist 23,2025-10-21,4.0,6.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 95,Software Engineer,Managerial Interview,Panelist 2,2025-10-25,8.0,3.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 97,Software Engineer,Technical Interview,Panelist 10,2025-09-11,10.0,9.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 97,Software Engineer,Managerial Interview,Panelist 23,2025-09-18,9.0,8.0,"Strong problem-solving, explained system design well.",No,No
Candidate 98,Software Engineer,Technical Interview,Panelist 14,2025-10-20,5.0,7.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 98,Software Engineer,Managerial Interview,Panelist 9,2025-10-21,6.0,7.0,Struggled with edge cases in coding round.,No,No
Candidate 99,Software Engineer,Technical Interview,Panelist 12,2025-09-18,9.0,7.0,"Strong problem-solving, explained system design well.",No,No
Candidate 99,Software Engineer,Managerial Interview,Panelist 18,2025-09-24,9.0,10.0,Needs improvement in time complexity.,Maybe,No
Candidate 100,Software Engineer,Technical Interview,Panelist 7,2025-11-08,5.0,7.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 100,Software Engineer,Managerial Interview,Panelist 11,2025-11-12,3.0,8.0,Needs improvement in time complexity.,No,No
Candidate 100,Software Engineer,Offer,HR Team,2025-11-18,,,Declined due to delays in process.,N/A,No
Candidate 101,Software Engineer,Technical Interview,Panelist 25,2025-10-29,10.0,4.0,Needs improvement in time complexity.,No,No
Candidate 101,Software Engineer,Managerial Interview,Panelist 14,2025-10-30,7.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 102,Software Engineer,Technical Interview,Panelist 21,2025-11-01,6.0,5.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 103,Software Engineer,Technical Interview,Panelist 8,2025-09-13,9.0,8.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 104,Software Engineer,Technical Interview,Panelist 7,2025-09-20,8.0,9.0,Struggled with edge cases in coding round.,No,No
Candidate 105,Software Engineer,Technical Interview,Panelist 14,2025-10-02,6.0,10.0,Needs improvement in time complexity.,Yes,No
Candidate 105,Software Engineer,Managerial Interview,Panelist 24,2025-10-03,8.0,7.0,Struggled with edge cases in coding round.,Yes,No
Candidate 106,Software Engineer,Technical Interview,Panelist 11,2025-10-26,3.0,4.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 106,Software Engineer,Managerial Interview,Panelist 22,2025-11-02,5.0,4.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 107,Software Engineer,Technical Interview,Panelist 23,2025-10-29,7.0,10.0,Needs improvement in time complexity.,No,No
Candidate 108,Software Engineer,Technical Interview,Panelist 21,2025-10-23,3.0,4.0,Struggled with edge cases in coding round.,No,No
Candidate 108,Software Engineer,Managerial Interview,Panelist 25,2025-10-30,4.0,5.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 110,Software Engineer,Technical Interview,Panelist 25,2025-09-13,5.0,4.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 110,Software Engineer,Managerial Interview,Panelist 5,2025-09-18,6.0,3.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 111,Software Engineer,Technical Interview,Panelist 8,2025-11-01,10.0,10.0,Struggled with edge cases in coding round.,No,No
Candidate 111,Software Engineer,Managerial Interview,Panelist 14,2025-11-07,10.0,8.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 112,Software Engineer,Technical Interview,Panelist 16,2025-10-22,7.0,10.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 112,Software Engineer,Managerial Interview,Panelist 22,2025-10-25,7.0,6.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 113,Software Engineer,Technical Interview,Panelist 12,2025-09-30,10.0,7.0,"Strong problem-solving, explained API design well.",No,No
Candidate 113,Software Engineer,Managerial Interview,Panelist 8,2025-10-07,9.0,7.0,Needs improvement in communication.,No,No
Candidate 114,Software Engineer,Technical Interview,Panelist 4,2025-10-28,8.0,10.0,Needs improvement in code clarity.,Maybe,No
Candidate 116,Software Engineer,Technical Interview,Panelist 8,2025-10-28,5.0,7.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 118,Software Engineer,Technical Interview,Panelist 16,2025-09-28,10.0,9.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 119,Software Engineer,Technical Interview,Panelist 3,2025-11-02,10.0,8.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 119,Software Engineer,Managerial Interview,Panelist 21,2025-11-09,10.0,8.0,Needs improvement in code clarity.,Yes,No
Candidate 120,Software Engineer,Technical Interview,Panelist 24,2025-09-09,6.0,8.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 120,Software Engineer,Managerial Interview,Panelist 3,2025-09-14,5.0,10.0,Struggled with edge cases in coding round.,No,No
Candidate 122,Software Engineer,Technical Interview,Panelist 24,2025-11-02,9.0,8.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 122,Software Engineer,Managerial Interview,Panelist 17,2025-11-03,9.0,9.0,"Strong problem-solving, explained DP well.",No,No
Candidate 123,Software Engineer,Technical Interview,Panelist 25,2025-10-19,10.0,9.0,"Strong problem-solving, explained DP well.",No,No
Candidate 123,Software Engineer,Managerial Interview,Panelist 23,2025-10-25,10.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 126,Software Engineer,Technical Interview,Panelist 11,2025-10-11,6.0,8.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 126,Software Engineer,Managerial Interview,Panelist 11,2025-10-15,6.0,9.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 128,Software Engineer,Technical Interview,Panelist 4,2025-09-13,10.0,8.0,Needs improvement in communication.,Yes,No
Candidate 128,Software Engineer,Managerial Interview,Panelist 21,2025-09-19,10.0,9.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 128,Software Engineer,Offer,HR Team,2025-10-02,,,Declined due to delays in process.,N/A,No
Candidate 129,Software Engineer,Technical Interview,Panelist 7,2025-10-30,7.0,8.0,"Strong problem-solving, explained system design well.",Maybe,No
Candidate 129,Software Engineer,Managerial Interview,Panelist 16,2025-11-02,6.0,5.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 130,Software Engineer,Technical Interview,Panelist 9,2025-10-23,9.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 130,Software Engineer,Managerial Interview,Panelist 25,2025-10-26,7.0,7.0,Needs improvement in communication.,Maybe,No
Candidate 131,Software Engineer,Technical Interview,Panelist 1,2025-10-05,7.0,4.0,Needs improvement in time complexity.,Maybe,No
Candidate 131,Software Engineer,Managerial Interview,Panelist 16,2025-10-12,3.0,3.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 132,Software Engineer,Technical Interview,Panelist 2,2025-10-01,9.0,7.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 132,Software Engineer,Managerial Interview,Panelist 13,2025-10-07,5.0,5.0,Needs improvement in communication.,Maybe,No
Candidate 133,Software Engineer,Technical Interview,Panelist 19,2025-10-02,10.0,3.0,Needs improvement in communication.,Maybe,No
Candidate 133,Software Engineer,Managerial Interview,Panelist 8,2025-10-07,10.0,6.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 133,Software Engineer,Offer,HR Team,2025-10-11,,,Declined due to delays in process.,N/A,No
Candidate 134,Software Engineer,Technical Interview,Panelist 2,2025-10-08,6.0,10.0,Struggled with edge cases in coding round.,No,No
Candidate 134,Software Engineer,Managerial Interview,Panelist 16,2025-10-15,9.0,6.0,Needs improvement in communication.,No,No
Candidate 135,Software Engineer,Technical Interview,Panelist 6,2025-09-22,8.0,5.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 135,Software Engineer,Managerial Interview,Panelist 24,2025-09-27,6.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 137,Software Engineer,Technical Interview,Panelist 12,2025-10-26,9.0,10.0,"Great cultural fit, asked thoughtful questions.",No,No
