CandidateName,AppliedRole,FunnelStage,StageOrder,Status,InterviewDate,Panelist,PanelistFatigueFlag,FeedbackText,RejectionReason,ResumeScore
Candidate 30,Software Engineer,Screening,1,Passed,2025-09-11,,No,,,6
Candidate 30,Software Engineer,Online Assessment,2,Passed,2025-09-13,,No,,,6
Candidate 30,Software Engineer,Technical Interview,3,Passed,2025-09-20,Panelist 19,No,"Great cultural fit, asked thoughtful questions.",,6
Candidate 30,Software Engineer,Managerial Interview,4,Rejected,2025-09-20,Panelist 6,No,Struggled with edge cases in coding round.,Code test failed,6
Candidate 31,Software Engineer,Screening,1,Rejected,2025-11-05,,No,,No show/interview abandoned,10
Candidate 32,Software Engineer,Screening,1,Passed,2025-09-29,,No,,,9
Candidate 32,Software Engineer,Online Assessment,2,Passed,2025-10-01,,No,,,9
Candidate 32,Software Engineer,Technical Interview,3,Passed,2025-10-08,Panelist 9,No,Struggled with edge cases in coding round.,,9
Candidate 32,Software Engineer,Managerial Interview,4,Passed,2025-10-09,Panelist 8,No,Struggled with edge cases in coding round.,,9
Candidate 32,Software Engineer,Offer,5,Passed,2025-10-16,,No,,,9
Candidate 32,Software Engineer,Offer,6,Accepted,2025-10-16,HR Team,No,Offer accepted.,,9
Candidate 33,Software Engineer,Screening,1,Passed,2025-11-06,,No,,,9
Candidate 33,Software Engineer,Online Assessment,2,Passed,2025-11-11,,No,,,9
Candidate 33,Software Engineer,Technical Interview,3,Passed,2025-11-18,Panelist 17,No,Struggled with edge cases in coding round.,,9
Candidate 33,Software Engineer,Managerial Interview,4,Passed,2025-11-21,Panelist 1,No,Struggled with edge cases in coding round.,,9
Candidate 33,Software Engineer,Offer,5,Passed,2025-11-25,,No,,,9
Candidate 33,Software Engineer,Offer,6,Rejected,2025-11-25,HR Team,No,Declined due to offer declined - better opportunity.,Offer declined - better opportunity,9
Candidate 34,Software Engineer,Screening,1,Passed,2025-10-03,,No,,,8
Candidate 34,Software Engineer,Online Assessment,2,Passed,2025-10-10,,No,,,8
Candidate 34,Software Engineer,Technical Interview,3,Passed,2025-10-13,Panelist 13,No,Struggled with edge cases in coding round.,,8
Candidate 34,Software Engineer,Managerial Interview,4,Passed,2025-10-15,Panelist 4,No,"Strong problem-solving, explained API design well.",,8
Candidate 34,Software Engineer,Offer,5,Passed,2025-10-18,,No,,,8
Candidate 34,Software Engineer,Offer,6,Accepted,2025-10-18,HR Team,No,Offer accepted.,,8
Candidate 35,Software Engineer,Screening,1,Passed,2025-11-14,,No,,,10
Candidate 35,Software Engineer,Online Assessment,2,Passed,2025-11-19,,No,,,10
Candidate 35,Software Engineer,Technical Interview,3,Passed,2025-11-26,Panelist 2,No,Needs improvement in code clarity.,,10
Candidate 35,Software Engineer,Managerial Interview,4,Passed,2025-11-29,Panelist 21,No,"Great cultural fit, asked thoughtful questions.",,10
Candidate 35,Software Engineer,Offer,5,Passed,2025-12-01,,No,,,10
Candidate 35,Software Engineer,Offer,6,Accepted,2025-12-01,HR Team,No,Offer accepted.,,10
Candidate 36,Software Engineer,Screening,1,Passed,2025-09-26,,No,,,6
Candidate 36,Software Engineer,Online Assessment,2,Passed,2025-10-01,,No,,,6
Candidate 36,Software Engineer,Technical Interview,3,Passed,2025-10-03,Panelist 5,No,"Strong problem-solving, explained system design well.",,6
Candidate 36,Software Engineer,Managerial Interview,4,Passed,2025-10-05,Panelist 3,No,Struggled with edge cases in coding round.,,6
Candidate 36,Software Engineer,Offer,5,Passed,2025-10-06,,No,,,6
Candidate 36,Software Engineer,Offer,6,Accepted,2025-10-06,HR Team,No,Offer accepted.,,6
Candidate 37,Software Engineer,Screening,1,Passed,2025-10-12,,No,,,2
Candidate 37,Software Engineer,Online Assessment,2,Passed,2025-10-18,,No,,,2
Candidate 37,Software Engineer,Technical Interview,3,Rejected,2025-10-18,Panelist 25,No,Struggled with edge cases in coding round.,Code test failed,2
Candidate 38,Software Engineer,Screening,1,Passed,2025-10-09,,No,,,6
Candidate 38,Software Engineer,Online Assessment,2,Passed,2025-10-10,,No,,,6
Candidate 38,Software Engineer,Technical Interview,3,Rejected,2025-10-10,Panelist 21,No,Excellent domain knowledge in ML pipelines.,Code test failed,6
Candidate 39,Software Engineer,Screening,1,Passed,2025-11-14,,No,,,10
Candidate 39,Software Engineer,Online Assessment,2,Passed,2025-11-17,,No,,,10
Candidate 39,Software Engineer,Technical Interview,3,Passed,2025-11-24,Panelist 16,No,Struggled with edge cases in coding round.,,10
Candidate 39,Software Engineer,Managerial Interview,4,Passed,2025-11-28,Panelist 22,No,"Strong problem-solving, explained API design well.",,10
Candidate 39,Software Engineer,Offer,5,Passed,2025-12-01,,No,,,10
Candidate 39,Software Engineer,Offer,6,Accepted,2025-12-01,HR Team,No,Offer accepted.,,10
Candidate 40,Software Engineer,Screening,1,Passed,2025-10-05,,No,,,4
Candidate 40,Software Engineer,Online Assessment,2,Passed,2025-10-11,,No,,,4
Candidate 40,Software Engineer,Technical Interview,3,Passed,2025-10-14,Panelist 3,No,Struggled with edge cases in coding round.,,4
Candidate 40,Software Engineer,Managerial Interview,4,Passed,2025-10-20,Panelist 16,No,Struggled with edge cases in coding round.,,4
Candidate 40,Software Engineer,Offer,5,Passed,2025-10-26,,No,,,4
Candidate 40,Software Engineer,Offer,6,Accepted,2025-10-26,HR Team,No,Offer accepted.,,4
Candidate 41,Software Engineer,Screening,1,Passed,2025-10-10,,No,,,10
Candidate 41,Software Engineer,Online Assessment,2,Passed,2025-10-13,,No,,,10
Candidate 41,Software Engineer,Technical Interview,3,Passed,2025-10-20,Panelist 4,No,"Strong problem-solving, explained API design well.",,10
Candidate 41,Software Engineer,Managerial Interview,4,Passed,2025-10-22,Panelist 15,No,"Strong problem-solving, explained API design well.",,10
Candidate 41,Software Engineer,Offer,5,Passed,2025-10-29,,No,,,10
Candidate 41,Software Engineer,Offer,6,Accepted,2025-10-29,HR Team,No,Offer accepted.,,10
Candidate 42,Software Engineer,Screening,1,Passed,2025-10-05,,No,,,7
Candidate 42,Software Engineer,Online Assessment,2,Passed,2025-10-07,,No,,,7
Candidate 42,Software Engineer,Technical Interview,3,Passed,2025-10-09,Panelist 5,No,"Strong problem-solving, explained DP well.",,7
Candidate 42,Software Engineer,Managerial Interview,4,Rejected,2025-10-09,Panelist 19,No,Struggled with edge cases in coding round.,Cultural misfit,7
Candidate 43,Software Engineer,Screening,1,Rejected,2025-09-29,,No,,Role withdrawn,8
Candidate 44,Software Engineer,Screening,1,Rejected,2025-10-29,,No,,Cultural misfit,5
Candidate 45,Software Engineer,Screening,1,Passed,2025-11-01,,No,,,9
Candidate 45,Software Engineer,Online Assessment,2,Passed,2025-11-06,,No,,,9
Candidate 45,Software Engineer,Technical Interview,3,Passed,2025-11-07,Panelist 21,No,Excellent domain knowledge in ML pipelines.,,9
Candidate 45,Software Engineer,Managerial Interview,4,Passed,2025-11-10,Panelist 23,No,Needs improvement in time complexity.,,9
Candidate 45,Software Engineer,Offer,5,Passed,2025-11-16,,No,,,9
Candidate 45,Software Engineer,Offer,6,Accepted,2025-11-16,HR Team,No,Offer accepted.,,9
Candidate 46,Software Engineer,Screening,1,Passed,2025-10-07,,No,,,10
Candidate 46,Software Engineer,Online Assessment,2,Passed,2025-10-08,,No,,,10
Candidate 46,Software Engineer,Technical Interview,3,Passed,2025-10-14,Panelist 14,No,"Strong problem-solving, explained DP well.",,10
Candidate 46,Software Engineer,Managerial Interview,4,Passed,2025-10-19,Panelist 4,No,"Strong problem-solving, explained system design well.",,10
Candidate 46,Software Engineer,Offer,5,Passed,2025-10-23,,No,,,10
Candidate 46,Software Engineer,Offer,6,Accepted,2025-10-23,HR Team,No,Offer accepted.,,10
Candidate 47,Software Engineer,Screening,1,Passed,2025-10-13,,No,,,8
Candidate 47,Software Engineer,Online Assessment,2,Passed,2025-10-18,,No,,,8
Candidate 47,Software Engineer,Technical Interview,3,Passed,2025-10-21,Panelist 20,No,"Great cultural fit, asked thoughtful questions.",,8
Candidate 47,Software Engineer,Managerial Interview,4,Passed,2025-10-22,Panelist 11,No,Struggled with edge cases in coding round.,,8
Candidate 47,Software Engineer,Offer,5,Passed,2025-10-26,,No,,,8
Candidate 47,Software Engineer,Offer,6,Accepted,2025-10-26,HR Team,No,Offer accepted.,,8
Candidate 48,Software Engineer,Screening,1,Passed,2025-10-23,,No,,,10
Candidate 48,Software Engineer,Online Assessment,2,Passed,2025-10-25,,No,,,10
Candidate 48,Software Engineer,Technical Interview,3,Passed,2025-10-29,Panelist 6,No,Struggled with edge cases in coding round.,,10
Candidate 48,Software Engineer,Managerial Interview,4,Passed,2025-11-03,Panelist 9,No,"Strong problem-solving, explained system design well.",,10
Candidate 48,Software Engineer,Offer,5,Rejected,2025-11-03,,No,,Cultural misfit,10
Candidate 49,Software Engineer,Screening,1,Passed,2025-10-01,,No,,,8
Candidate 49,Software Engineer,Online Assessment,2,Rejected,2025-10-01,,No,,Role withdrawn,8
Candidate 50,Software Engineer,Screening,1,Passed,2025-09-22,,No,,,10
Candidate 50,Software Engineer,Online Assessment,2,Passed,2025-09-25,,No,,,10
Candidate 50,Software Engineer,Technical Interview,3,Passed,2025-09-30,Panelist 3,No,Struggled with edge cases in coding round.,,10
Candidate 50,Software Engineer,Managerial Interview,4,Passed,2025-10-04,Panelist 13,No,"Strong problem-solving, explained DP well.",,10
Candidate 50,Software Engineer,Offer,5,Passed,2025-10-05,,No,,,10
Candidate 50,Software Engineer,Offer,6,Accepted,2025-10-05,HR Team,No,Offer accepted.,,10
Candidate 51,Software Engineer,Screening,1,Passed,2025-09-14,,No,,,5
Candidate 51,Software Engineer,Online Assessment,2,Passed,2025-09-15,,No,,,5
Candidate 51,Software Engineer,Technical Interview,3,Passed,2025-09-17,Panelist 17,No,"Great cultural fit, asked thoughtful questions.",,5
Candidate 51,Software Engineer,Managerial Interview,4,Passed,2025-09-23,Panelist 8,No,Needs improvement in time complexity.,,5
Candidate 51,Software Engineer,Offer,5,Passed,2025-09-30,,No,,,5
Candidate 51,Software Engineer,Offer,6,Accepted,2025-09-30,HR Team,No,Offer accepted.,,5
Candidate 52,Software Engineer,Screening,1,Rejected,2025-10-11,,No,,Cultural misfit,7
Candidate 53,Software Engineer,Screening,1,Passed,2025-09-11,,No,,,8
Candidate 53,Software Engineer,Online Assessment,2,Passed,2025-09-17,,No,,,8
Candidate 53,Software Engineer,Technical Interview,3,Passed,2025-09-24,Panelist 3,No,Excellent domain knowledge in ML pipelines.,,8
Candidate 53,Software Engineer,Managerial Interview,4,Passed,2025-10-01,Panelist 19,No,Needs improvement in time complexity.,,8
Candidate 53,Software Engineer,Offer,5,Passed,2025-10-06,,No,,,8
Candidate 53,Software Engineer,Offer,6,Accepted,2025-10-06,HR Team,No,Offer accepted.,,8
Candidate 54,Software Engineer,Screening,1,Passed,2025-11-01,,No,,,5
Candidate 54,Software Engineer,Online Assessment,2,Passed,2025-11-04,,No,,,5
Candidate 54,Software Engineer,Technical Interview,3,Passed,2025-11-08,Panelist 13,No,"Great cultural fit, asked thoughtful questions.",,5
Candidate 54,Software Engineer,Managerial Interview,4,Rejected,2025-11-08,Panelist 10,No,"Great cultural fit, asked thoughtful questions.",Code test failed,5
Candidate 55,Software Engineer,Screening,1,Passed,2025-09-18,,No,,,10
Candidate 55,Software Engineer,Online Assessment,2,Passed,2025-09-24,,No,,,10
Candidate 55,Software Engineer,Technical Interview,3,Passed,2025-09-26,Panelist 24,No,Struggled with edge cases in coding round.,,10
Candidate 55,Software Engineer,Managerial Interview,4,Passed,2025-09-27,Panelist 7,No,Needs improvement in communication.,,10
Candidate 55,Software Engineer,Offer,5,Passed,2025-10-03,,No,,,10
Candidate 55,Software Engineer,Offer,6,Rejected,2025-10-03,HR Team,No,Declined due to compensation mismatch.,Compensation mismatch,10
Candidate 56,Software Engineer,Screening,1,Passed,2025-10-25,,No,,,10
Candidate 56,Software Engineer,Online Assessment,2,Passed,2025-10-27,,No,,,10
Candidate 56,Software Engineer,Technical Interview,3,Passed,2025-11-03,Panelist 24,No,Needs improvement in time complexity.,,10
Candidate 56,Software Engineer,Managerial Interview,4,Passed,2025-11-07,Panelist 15,No,"Great cultural fit, asked thoughtful questions.",,10
Candidate 56,Software Engineer,Offer,5,Passed,2025-11-12,,No,,,10
Candidate 56,Software Engineer,Offer,6,Accepted,2025-11-12,HR Team,No,Offer accepted.,,10
Candidate 57,Software Engineer,Screening,1,Passed,2025-10-06,,No,,,7
Candidate 57,Software Engineer,Online Assessment,2,Rejected,2025-10-06,,No,,No show/interview abandoned,7
Candidate 58,Software Engineer,Screening,1,Passed,2025-09-23,,No,,,8
Candidate 58,Software Engineer,Online Assessment,2,Rejected,2025-09-23,,No,,Insufficient experience,8
Candidate 59,Software Engineer,Screening,1,Passed,2025-10-22,,No,,,10
Candidate 59,Software Engineer,Online Assessment,2,Rejected,2025-10-22,,No,,Poor skill match,10
Candidate 60,Software Engineer,Screening,1,Passed,2025-09-22,,No,,,9
Candidate 60,Software Engineer,Online Assessment,2,Passed,2025-09-28,,No,,,9
Candidate 60,Software Engineer,Technical Interview,3,Passed,2025-10-04,Panelist 16,No,"Great cultural fit, asked thoughtful questions.",,9
Candidate 60,Software Engineer,Managerial Interview,4,Passed,2025-10-11,Panelist 20,No,"Great cultural fit, asked thoughtful questions.",,9
Candidate 60,Software Engineer,Offer,5,Rejected,2025-10-11,,No,,Cultural misfit,9
