CandidateName,AppliedRole,InterviewStage,Status,Feedback,Interviewer,RejectionReason,InterviewDate,ApplicationDate,DaysInPipeline,Source,SalaryExpectation,ResumeScore
Candidate 35,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 21,,2025-12-01,2025-11-08,23,Internal,1536866,10
Candidate 36,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 3,,2025-10-06,2025-09-22,14,Other,1955213,6
Candidate 37,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 25,Code test failed,2025-10-18,2025-10-08,10,Other,2705583,2
Candidate 38,Software Engineer,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 21,Code test failed,2025-10-10,2025-10-03,7,Naukri,1997471,6
Candidate 39,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 22,,2025-12-01,2025-11-09,22,Referral,2942746,10
Candidate 40,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 16,,2025-10-26,2025-09-30,26,Referral,1654436,4
Candidate 41,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 15,,2025-10-29,2025-10-06,23,Internal,1615326,10
Candidate 42,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 19,Cultural misfit,2025-10-09,2025-09-30,9,Naukri,2105765,7
Candidate 43,Software Engineer,Applied,Rejected,,,Role withdrawn,2025-09-29,2025-09-29,0,Referral,3352676,8
Candidate 44,Software Engineer,Applied,Rejected,,,Cultural misfit,2025-10-29,2025-10-29,0,Other,2465129,5
Candidate 45,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 23,,2025-11-16,2025-10-27,20,Internal,2987921,9
Candidate 46,Software Engineer,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 4,,2025-10-23,2025-10-03,20,Internal,2510818,10
Candidate 47,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 11,,2025-10-26,2025-10-06,20,LinkedIn,2668484,8
Candidate 48,Software Engineer,Managerial Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 9,Cultural misfit,2025-11-03,2025-10-18,16,Referral,1860222,10
Candidate 49,Software Engineer,Screening,Rejected,,,Role withdrawn,2025-10-01,2025-09-28,3,Other,1429772,8
Candidate 50,Software Engineer,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 13,,2025-10-05,2025-09-17,18,Internal,1936917,10
Candidate 51,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 8,,2025-09-30,2025-09-11,19,LinkedIn,2220543,5
Candidate 52,Software Engineer,Applied,Rejected,,,Cultural misfit,2025-10-11,2025-10-11,0,Other,2555633,7
Candidate 53,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 19,,2025-10-06,2025-09-10,26,Referral,2352064,8
Candidate 54,Software Engineer,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 10,Code test failed,2025-11-08,2025-10-27,12,LinkedIn,2239112,5
Candidate 55,Software Engineer,Offer,Rejected,Needs improvement in communication.,Panelist 7,Compensation mismatch,2025-10-03,2025-09-11,22,Referral,2843990,10
Candidate 56,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 15,,2025-11-12,2025-10-19,24,Referral,1749659,10
Candidate 57,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-06,2025-10-03,3,Naukri,2037592,7
Candidate 58,Software Engineer,Screening,Rejected,,,Insufficient experience,2025-09-23,2025-09-21,2,Referral,1551797,8
Candidate 59,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-22,2025-10-21,1,Internal,2666266,10
Candidate 60,Software Engineer,Managerial Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 20,Cultural misfit,2025-10-11,2025-09-18,23,Referral,1812575,9
Candidate 61,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 1,,2025-10-18,2025-10-01,17,Other,3448372,9
Candidate 62,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 7,,2025-10-10,2025-09-18,22,Other,2594684,8
Candidate 63,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 18,Delays in process,2025-11-10,2025-10-26,15,LinkedIn,2592193,6
Candidate 64,Software Engineer,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 17,Poor skill match,2025-10-10,2025-10-06,4,Other,3024272,7
Candidate 65,Software Engineer,Online Assessment,Rejected,Needs improvement in code clarity.,Panelist 5,Cultural misfit,2025-09-13,2025-09-05,8,Naukri,2736492,3
Candidate 66,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 22,,2025-10-21,2025-10-04,17,Other,1693925,6
Candidate 67,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-24,2025-10-17,7,Naukri,1782491,7
Candidate 68,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 3,Role withdrawn,2025-10-31,2025-10-21,10,LinkedIn,2497259,9
Candidate 69,Software Engineer,Technical Interview,Rejected,Needs improvement in time complexity.,Panelist 21,Role withdrawn,2025-09-19,2025-09-08,11,Naukri,1741203,2
Candidate 70,Software Engineer,Applied,Rejected,,,Poor skill match,2025-09-06,2025-09-06,0,Other,2616079,9
Candidate 71,Software Engineer,Applied,Rejected,,,Role withdrawn,2025-10-24,2025-10-24,0,Other,2310047,5
Candidate 72,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 24,,2025-10-30,2025-10-09,21,Other,2414970,4
Candidate 73,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 19,,2025-10-10,2025-09-21,19,Referral,2811241,10
Candidate 74,Software Engineer,Screening,Rejected,,,Cultural misfit,2025-10-25,2025-10-22,3,Referral,1389760,10
Candidate 75,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 16,,2025-10-07,2025-09-16,21,Other,2373233,8
Candidate 76,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 25,,2025-11-30,2025-11-02,28,Other,3432795,6
Candidate 77,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 11,,2025-11-16,2025-10-24,23,Other,1660935,7
Candidate 78,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained DP well.",Panelist 13,Cultural misfit,2025-10-22,2025-10-09,13,Naukri,2370237,6
Candidate 79,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 4,,2025-10-20,2025-10-05,15,Referral,3209404,10
Candidate 80,Software Engineer,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 1,Delays in process,2025-10-13,2025-09-30,13,LinkedIn,1575225,6
Candidate 81,Software Engineer,Online Assessment,Rejected,"Strong problem-solving, explained API design well.",Panelist 21,Insufficient experience,2025-09-12,2025-09-02,10,Naukri,3124826,5
Candidate 82,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 13,,2025-10-20,2025-10-02,18,Internal,2557283,7
Candidate 83,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 20,Role withdrawn,2025-11-14,2025-10-31,14,Other,2767096,4
Candidate 84,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 15,Compensation mismatch,2025-10-10,2025-09-20,20,Naukri,3450915,6
Candidate 85,Software Engineer,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 18,,2025-10-06,2025-09-18,18,Internal,1333105,9
Candidate 86,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 23,,2025-10-17,2025-09-25,22,Naukri,2356158,7
Candidate 87,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 22,No show/interview abandoned,2025-10-27,2025-10-12,15,Other,2537579,3
Candidate 88,Software Engineer,Screening,Rejected,,,Cultural misfit,2025-10-06,2025-09-29,7,Internal,2210693,10
Candidate 89,Software Engineer,Screening,Rejected,,,Role withdrawn,2025-10-01,2025-09-27,4,Internal,3422946,10
Candidate 90,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 19,Insufficient experience,2025-10-13,2025-10-05,8,Naukri,1416160,8
Candidate 91,Software Engineer,Technical Interview,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 11,No show/interview abandoned,2025-10-12,2025-09-27,15,LinkedIn,3208739,9
Candidate 92,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 5,,2025-10-30,2025-10-08,22,Other,2951449,6
Candidate 93,Software Engineer,Applied,Rejected,,,Role withdrawn,2025-11-04,2025-11-04,0,Naukri,1485078,6
Candidate 94,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 18,Insufficient experience,2025-11-09,2025-11-02,7,Other,3226705,6
Candidate 95,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 2,,2025-11-02,2025-10-16,17,Naukri,2005021,5
Candidate 96,Software Engineer,Applied,Rejected,,,Code test failed,2025-10-05,2025-10-05,0,Other,3194392,4
Candidate 97,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 23,No show/interview abandoned,2025-09-18,2025-09-03,15,Other,1338000,8
Candidate 98,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 9,Code test failed,2025-10-21,2025-10-12,9,Other,2863893,4
Candidate 99,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 18,,2025-09-29,2025-09-12,17,Internal,2709603,10
Candidate 100,Software Engineer,Offer,Rejected,Needs improvement in time complexity.,Panelist 11,Delays in process,2025-11-18,2025-11-01,17,Internal,2457252,6
Candidate 101,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 14,,2025-11-07,2025-10-21,17,Internal,2216801,9
Candidate 102,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 21,Role withdrawn,2025-11-01,2025-10-24,8,Other,3324887,6
Candidate 103,Software Engineer,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 8,Poor skill match,2025-09-13,2025-09-02,11,Internal,2590817,10
Candidate 104,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 7,Role withdrawn,2025-09-20,2025-09-11,9,Referral,2944727,10
Candidate 105,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 24,,2025-10-15,2025-09-22,23,LinkedIn,1294728,8
Candidate 106,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained API design well.",Panelist 22,Code test failed,2025-11-02,2025-10-17,16,Other,1984166,6
Candidate 107,Software Engineer,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 23,Cultural misfit,2025-10-29,2025-10-20,9,LinkedIn,1967744,6
Candidate 108,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 25,,2025-11-07,2025-10-16,22,Other,1424861,4
Candidate 109,Software Engineer,Screening,Rejected,,,Role withdrawn,2025-09-08,2025-09-06,2,Referral,3477952,10
Candidate 110,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 5,,2025-09-26,2025-09-05,21,Naukri,2448681,5
Candidate 111,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 14,,2025-11-15,2025-10-23,23,Other,1599403,9
Candidate 112,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained API design well.",Panelist 22,Cultural misfit,2025-10-25,2025-10-16,9,LinkedIn,3122875,7
Candidate 113,Software Engineer,Managerial Interview,Rejected,Needs improvement in communication.,Panelist 8,Role withdrawn,2025-10-12,2025-09-17,25,LinkedIn,2994320,7
Candidate 114,Software Engineer,Online Assessment,Rejected,Needs improvement in code clarity.,Panelist 4,Role withdrawn,2025-10-28,2025-10-25,3,Referral,1705806,10
Candidate 115,Software Engineer,Screening,Rejected,,,Poor skill match,2025-09-24,2025-09-20,4,LinkedIn,1888354,4
Candidate 116,Software Engineer,Online Assessment,Rejected,"Strong problem-solving, explained API design well.",Panelist 8,Role withdrawn,2025-10-28,2025-10-20,8,Naukri,1716558,8
Candidate 117,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-05,2025-10-01,4,Naukri,2843122,6
Candidate 118,Software Engineer,Online Assessment,Rejected,"Strong problem-solving, explained DP well.",Panelist 16,Poor skill match,2025-09-28,2025-09-17,11,Referral,2527382,10
Candidate 119,Software Engineer,Offer,Accepted,Needs improvement in code clarity.,Panelist 21,,2025-11-13,2025-10-24,20,Internal,3324878,9
Candidate 120,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 3,No show/interview abandoned,2025-09-14,2025-09-02,12,Naukri,1700980,6
Candidate 121,Software Engineer,Screening,Rejected,,,Poor skill match,2025-09-16,2025-09-15,1,Naukri,2742194,8
Candidate 122,Software Engineer,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 17,,2025-11-07,2025-10-20,18,Internal,2726628,10
Candidate 123,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 23,No show/interview abandoned,2025-10-25,2025-10-09,16,LinkedIn,2747359,7
Candidate 124,Software Engineer,Screening,Rejected,,,Insufficient experience,2025-11-04,2025-11-02,2,Naukri,2960835,3
Candidate 125,Software Engineer,Screening,Rejected,,,Poor skill match,2025-09-17,2025-09-11,6,Other,2932485,6
Candidate 126,Software Engineer,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 11,Insufficient experience,2025-10-15,2025-10-01,14,Internal,1748230,8
Candidate 127,Software Engineer,Screening,Rejected,,,Code test failed,2025-09-22,2025-09-19,3,Referral,1369155,10
Candidate 128,Software Engineer,Offer,Rejected,"Strong problem-solving, explained API design well.",Panelist 21,Delays in process,2025-10-02,2025-09-04,28,Referral,1929254,10
Candidate 129,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 16,,2025-11-16,2025-10-26,21,LinkedIn,1379081,7
Candidate 130,Software Engineer,Managerial Interview,Rejected,Needs improvement in communication.,Panelist 25,Insufficient experience,2025-11-02,2025-10-16,17,LinkedIn,2804313,8
Candidate 131,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained DP well.",Panelist 16,Cultural misfit,2025-10-12,2025-09-23,19,Other,2829162,4
Candidate 132,Software Engineer,Offer,Accepted,Needs improvement in communication.,Panelist 13,,2025-10-16,2025-09-26,20,LinkedIn,2591393,6
Candidate 133,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 8,Delays in process,2025-10-11,2025-09-23,18,Other,2696634,7
Candidate 134,Software Engineer,Offer,Accepted,Needs improvement in communication.,Panelist 16,,2025-10-19,2025-10-04,15,Internal,1247796,9
Candidate 135,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 24,,2025-10-05,2025-09-12,23,Naukri,2774784,7
Candidate 136,Software Engineer,Applied,Rejected,,,Insufficient experience,2025-11-01,2025-11-01,0,LinkedIn,2435429,5
Candidate 137,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 19,,2025-11-12,2025-10-21,22,Referral,1543664,9
Candidate 138,Software Engineer,Technical Interview,Rejected,Needs improvement in communication.,Panelist 25,Role withdrawn,2025-11-15,2025-11-08,7,Other,2955870,8
Candidate 139,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 5,,2025-10-28,2025-10-04,24,Internal,2046910,10
Candidate 140,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 13,Code test failed,2025-09-11,2025-09-05,6,Other,3184101,9
Candidate 141,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 16,,2025-10-06,2025-09-13,23,Referral,2375859,10
Candidate 142,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained DP well.",Panelist 16,No show/interview abandoned,2025-09-20,2025-09-08,12,Naukri,2041909,2
Candidate 143,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 23,,2025-10-25,2025-10-05,20,Naukri,2128413,5
Candidate 144,Software Engineer,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 20,,2025-10-29,2025-10-09,20,Referral,2385632,8
Candidate 145,Software Engineer,Offer,Accepted,Needs improvement in communication.,Panelist 6,,2025-11-30,2025-11-08,22,Other,1996561,5
Candidate 146,Software Engineer,Screening,Rejected,,,Insufficient experience,2025-11-05,2025-10-31,5,Internal,1694011,8
Candidate 147,Software Engineer,Offer,Accepted,Needs improvement in communication.,Panelist 11,,2025-10-28,2025-10-09,19,Other,1702544,8
Candidate 148,Software Engineer,Applied,Rejected,,,Insufficient experience,2025-11-01,2025-11-01,0,Internal,2999463,9
Candidate 149,Software Engineer,Offer,Accepted,Needs improvement in code clarity.,Panelist 15,,2025-12-03,2025-11-07,26,Referral,1259043,10
Candidate 150,Software Engineer,Applied,Rejected,,,Insufficient experience,2025-09-17,2025-09-17,0,Naukri,2140871,4
Candidate 151,Software Engineer,Online Assessment,Rejected,"Strong problem-solving, explained DP well.",Panelist 22,Code test failed,2025-10-25,2025-10-19,6,LinkedIn,2737595,6
Candidate 152,Software Engineer,Offer,Rejected,Needs improvement in time complexity.,Panelist 4,Delays in process,2025-10-19,2025-09-27,22,Internal,1842261,10
Candidate 153,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 24,Insufficient experience,2025-09-18,2025-09-15,3,Naukri,1211484,7
Candidate 154,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 3,,2025-11-13,2025-10-17,27,LinkedIn,2418727,2
Candidate 155,Software Engineer,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 13,Cultural misfit,2025-09-26,2025-09-14,12,Naukri,1445980,10
Candidate 156,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 22,,2025-10-02,2025-09-09,23,Internal,1392821,7
Candidate 157,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 4,,2025-11-26,2025-11-02,24,Internal,3279682,10
Candidate 158,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 18,Role withdrawn,2025-11-02,2025-10-29,4,Other,2067597,6
Candidate 159,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 15,,2025-10-22,2025-10-08,14,Naukri,1209214,4
Candidate 160,Software Engineer,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 17,Role withdrawn,2025-11-12,2025-11-03,9,Other,1764704,5
Candidate 161,Software Engineer,Screening,Rejected,,,Cultural misfit,2025-10-05,2025-10-02,3,Other,2549910,5
Candidate 162,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 17,,2025-11-02,2025-10-09,24,Other,3348719,6
Candidate 163,Software Engineer,Offer,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 20,Cultural misfit,2025-10-04,2025-09-19,15,Internal,1253563,9
Candidate 164,Software Engineer,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 24,,2025-12-02,2025-11-10,22,Internal,2511365,7
Candidate 165,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 17,,2025-10-07,2025-09-20,17,Naukri,2269615,9
Candidate 166,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 4,,2025-11-23,2025-10-31,23,Other,3425073,7
Candidate 167,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 22,Role withdrawn,2025-11-17,2025-11-08,9,LinkedIn,1602470,9
Candidate 168,Software Engineer,Applied,Rejected,,,Poor skill match,2025-10-29,2025-10-29,0,Naukri,1299627,7
Candidate 169,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 3,,2025-10-16,2025-09-30,16,LinkedIn,1946553,7
Candidate 170,Software Engineer,Offer,Rejected,"Strong problem-solving, explained API design well.",Panelist 2,Offer declined - better opportunity,2025-10-10,2025-09-18,22,Other,2122183,8
Candidate 171,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 12,,2025-10-18,2025-09-25,23,Naukri,1971721,7
Candidate 172,Software Engineer,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 16,Role withdrawn,2025-10-23,2025-10-11,12,Other,2728796,9
Candidate 173,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained API design well.",Panelist 24,Insufficient experience,2025-09-21,2025-09-04,17,LinkedIn,1516250,10
Candidate 174,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 22,Role withdrawn,2025-11-13,2025-11-05,8,Other,1895598,6
Candidate 175,Software Engineer,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 12,,2025-10-23,2025-10-06,17,Referral,1632957,9
Candidate 176,Software Engineer,Offer,Rejected,Needs improvement in communication.,Panelist 21,Delays in process,2025-09-30,2025-09-16,14,Naukri,2719273,5
Candidate 177,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 6,Cultural misfit,2025-11-13,2025-11-01,12,LinkedIn,2108458,2
Candidate 178,Software Engineer,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 4,Role withdrawn,2025-09-24,2025-09-14,10,Internal,1754542,8
Candidate 179,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 8,,2025-11-22,2025-10-26,27,Naukri,3461929,8
Candidate 180,Software Engineer,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 12,Role withdrawn,2025-11-05,2025-10-23,13,Naukri,2524987,6
Candidate 181,Software Engineer,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 3,Insufficient experience,2025-10-11,2025-09-21,20,LinkedIn,2163730,4
Candidate 182,Software Engineer,Online Assessment,Rejected,"Strong problem-solving, explained API design well.",Panelist 20,Insufficient experience,2025-09-16,2025-09-02,14,Internal,3041182,10
Candidate 183,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-22,2025-10-21,1,LinkedIn,2357363,7
